bad_IM-rytov0.00-AS0%distance 0.0, use 29.04610538482666 time.
bad_IM-rytov0.30-AS19%distance 1174.8778819816814, use 44.36739420890808 time.
bad_IM-rytov0.04-AS7%distance 1226.3426647205142, use 48.27596092224121 time.
bad_IM-rytov0.08-AS11%distance 1608.1001277194034, use 47.80653929710388 time.
bad_IM-rytov0.01-AS4%distance 1678.5419370041159, use 115.78718876838684 time.
bad_IM-rytov0.15-AS19%distance 2108.697752402268, use 118.873281955719 time.
bad_IM-rytov0.02-AS7%distance 2201.067924105739, use 118.77134132385254 time.
bad_IM-rytov0.30-AS31%distance 2765.1301895563756, use 120.04758310317993 time.
bad_IM-rytov0.04-AS11%distance 2886.254969103735, use 154.98569107055664 time.
bad_IM-rytov0.60-AS51%distance 3625.9084340018076, use 154.56874179840088 time.
bad_IM-rytov0.08-AS19%distance 3784.7390602725786, use 161.00563144683838 time.
bad_IM-rytov0.01-AS7%distance 3950.527161697717, use 156.95042848587036 time.
bad_IM-rytov0.15-AS31%distance 4962.91904481363, use 155.5995008945465 time.
bad_IM-rytov0.02-AS11%distance 5180.316575492265, use 155.19619727134705 time.
bad_IM-rytov0.30-AS51%distance 6507.863568168939, use 433.2349600791931 time.
bad_IM-rytov0.04-AS19%distance 6792.936416816705, use 432.9606657028198 time.
bad_IM-rytov0.60-AS84%distance 8533.74553150522, use 439.1083221435547 time.
bad_IM-rytov0.08-AS31%distance 8907.560858581308, use 578.4368813037872 time.
bad_IM-rytov0.01-AS11%distance 9297.750929694597, use 579.5812690258026 time.
bad_IM-rytov0.15-AS51%distance 11680.462701358803, use 580.6797111034393 time.
bad_IM-rytov0.02-AS19%distance 12192.11798437474, use 585.0789875984192 time.
bad_IM-rytov0.30-AS84%distance 15316.56208516368, use 1776.6878402233124 time.
bad_IM-rytov0.04-AS31%distance 15987.494402562643, use 1689.6040306091309 time.
