bad_IM-rytov0.00-AS0%distance 0.0, use 60.59557485580444 time.
bad_IM-rytov0.30-AS19%distance 1174.8778819816814, use 106.58653044700623 time.
bad_IM-rytov0.04-AS7%distance 1226.3426647205142, use 110.05703711509705 time.
bad_IM-rytov0.08-AS11%distance 1608.1001277194034, use 113.30325746536255 time.
bad_IM-rytov0.01-AS4%distance 1678.5419370041159, use 272.38730788230896 time.
bad_IM-rytov0.15-AS19%distance 2108.697752402268, use 256.5331404209137 time.
bad_IM-rytov0.02-AS7%distance 2201.067924105739, use 251.95029163360596 time.
bad_IM-rytov0.30-AS31%distance 2765.1301895563756, use 259.66654562950134 time.
bad_IM-rytov0.04-AS11%distance 2886.254969103735, use 289.30153822898865 time.
bad_IM-rytov0.60-AS51%distance 3625.9084340018076, use 358.18652868270874 time.
bad_IM-rytov0.08-AS19%distance 3784.7390602725786, use 380.5581431388855 time.
bad_IM-rytov0.01-AS7%distance 3950.527161697717, use 371.20186281204224 time.
bad_IM-rytov0.15-AS31%distance 4962.91904481363, use 368.71675968170166 time.
bad_IM-rytov0.02-AS11%distance 5180.316575492265, use 364.2828712463379 time.
bad_IM-rytov0.30-AS51%distance 6507.863568168939, use 1006.6677165031433 time.
bad_IM-rytov0.04-AS19%distance 6792.936416816705, use 791.8717186450958 time.
bad_IM-rytov0.60-AS84%distance 8533.74553150522, use 1033.694010734558 time.
bad_IM-rytov0.08-AS31%distance 8907.560858581308, use 1504.383320093155 time.
bad_IM-rytov0.01-AS11%distance 9297.750929694597, use 988.2656576633453 time.
bad_IM-rytov0.15-AS51%distance 11680.462701358803, use 1174.5516121387482 time.
